Date,Open,High,Low,Close,Adj Close,Volume
2015-08-04,115.989998,116.050003,115.639999,115.699997,97.588753,3823200
2015-08-05,115.510002,115.510002,115.089996,115.250000,97.209213,2991600
2015-08-06,115.379997,115.589996,115.330002,115.470001,97.394737,1750800
2015-08-07,115.639999,115.940002,115.550003,115.870003,97.732132,2907200
2015-08-10,115.580002,115.680000,115.349998,115.410004,97.344147,1317600
2015-08-11,115.889999,116.209999,115.820000,115.889999,97.748985,5011600
2015-08-12,115.889999,116.260002,115.650002,115.709999,97.597198,5062200
2015-08-13,115.410004,115.660004,115.220001,115.309998,97.259804,1647500
2015-08-14,115.279999,115.529999,115.169998,115.419998,97.352577,1693600
2015-08-17,115.800003,116.099998,115.589996,115.790001,97.664673,3313900
2015-08-18,115.519997,115.639999,115.279999,115.349998,97.293541,2200900
2015-08-19,115.099998,115.989998,115.000000,115.910004,97.765907,2600100
2015-08-20,115.949997,116.110001,115.809998,115.980003,97.824921,1760100
2015-08-21,116.010002,116.290001,115.820000,116.010002,97.850212,2971100
2015-08-24,116.500000,116.589996,115.629997,115.690002,97.580315,3966000
2015-08-25,115.349998,115.559998,114.870003,115.099998,97.082680,2625300
2015-08-26,114.879997,115.230003,114.680000,115.029999,97.023613,3299400
2015-08-27,114.809998,115.389999,114.699997,115.139999,97.116417,2957800
2015-08-28,115.709999,115.760002,115.269997,115.349998,97.293541,1901200
2015-08-31,115.790001,115.820000,115.059998,115.059998,97.048935,1250200
2015-09-01,115.059998,115.489998,114.839996,115.419998,97.636841,3856800
2015-09-02,114.970001,115.459999,114.970001,115.250000,97.493050,1824500
2015-09-03,115.570000,115.940002,115.419998,115.800003,97.958305,11303000
2015-09-04,115.970001,116.199997,115.779999,116.059998,98.178268,1648600
2015-09-08,115.760002,115.820000,115.500000,115.519997,97.721420,1892300
2015-09-09,115.230003,115.839996,115.199997,115.769997,97.932930,2079100
2015-09-10,115.570000,115.650002,115.360001,115.540001,97.738365,2566500
2015-09-11,115.580002,115.889999,115.570000,115.620003,97.806023,2333300
2015-09-14,115.779999,115.820000,115.480003,115.610001,97.797577,1732500
2015-09-15,115.339996,115.480003,114.639999,114.739998,97.061661,3090400
2015-09-16,114.809998,115.050003,114.760002,114.949997,97.239296,2918300
2015-09-17,114.930000,115.940002,114.889999,115.900002,98.042892,4106700
2015-09-18,116.080002,116.379997,116.000000,116.250000,98.338966,4692400
2015-09-21,115.940002,116.099998,115.610001,115.660004,97.839874,3209900
2015-09-22,116.050003,116.349998,115.940002,116.160004,98.262825,4001000
2015-09-23,116.120003,116.220001,115.930000,116.089996,98.203644,2435200
2015-09-24,116.459999,116.519997,116.080002,116.110001,98.220535,2378100
2015-09-25,115.739998,115.949997,115.650002,115.760002,97.924461,2858800
2015-09-28,115.839996,116.160004,115.699997,115.959999,98.093636,3099400
2015-09-29,115.910004,116.150002,115.820000,116.110001,98.220535,2267100
2015-09-30,115.879997,116.129997,115.830002,116.089996,98.203644,4404200
2015-10-01,115.739998,115.919998,115.570000,115.730003,98.181580,6459600
2015-10-02,116.349998,116.489998,116.019997,116.239998,98.614258,3480100
2015-10-05,115.919998,116.070000,115.800003,115.930000,98.351242,7567200
2015-10-06,115.930000,116.220001,115.650002,116.160004,98.546371,3241200
2015-10-07,116.239998,116.599998,115.919998,116.570000,98.894173,5884900
2015-10-08,116.570000,116.570000,115.980003,116.110001,98.503952,2175000
2015-10-09,116.089996,116.279999,115.989998,116.160004,98.546371,3798800
2015-10-12,116.320000,116.699997,116.320000,116.629997,98.945091,860400
2015-10-13,116.610001,116.639999,116.239998,116.540001,98.868759,2147200
2015-10-14,116.839996,117.010002,116.570000,117.000000,99.258995,1976500
2015-10-15,116.849998,116.949997,116.610001,116.949997,99.216583,4233500
2015-10-16,116.919998,117.029999,116.830002,116.989998,99.250481,3055300
2015-10-19,116.940002,116.989998,116.639999,116.980003,99.242065,2510700
2015-10-20,116.639999,116.849998,116.550003,116.760002,99.055351,4190100
2015-10-21,117.050003,117.370003,117.050003,117.339996,99.547424,2497700
2015-10-22,117.309998,117.779999,117.220001,117.589996,99.759529,2396900
2015-10-23,117.349998,117.410004,117.160004,117.160004,99.394760,3682800
2015-10-26,117.370003,117.430000,117.129997,117.370003,99.572884,3771900
2015-10-27,117.660004,117.690002,117.370003,117.400002,99.598351,2809600
2015-10-28,117.290001,117.360001,116.820000,116.940002,99.208084,4693300
2015-10-29,116.610001,116.629997,116.000000,116.120003,98.512451,2942100
2015-10-30,116.190002,116.440002,116.080002,116.419998,98.766930,2664100
2015-11-02,115.800003,115.879997,115.559998,115.589996,98.342400,6241700
2015-11-03,115.599998,115.709999,115.430000,115.599998,98.350899,2672700
2015-11-04,115.629997,115.790001,115.449997,115.470001,98.240295,4176400
2015-11-05,115.559998,115.720001,115.230003,115.500000,98.265831,3743100
2015-11-06,114.830002,114.879997,114.639999,114.750000,97.627762,4306200
2015-11-09,114.540001,114.809998,114.430000,114.559998,97.466064,3253200
2015-11-10,114.699997,115.059998,114.570000,114.849998,97.712814,2228800
2015-11-11,114.800003,114.900002,114.730003,114.839996,97.704292,910900
2015-11-12,114.750000,115.199997,114.739998,114.800003,97.670273,3102000
2015-11-13,115.089996,115.190002,114.980003,115.139999,97.959549,2618900
2015-11-16,115.209999,115.300003,115.019997,115.160004,97.976563,2558400
2015-11-17,114.949997,115.500000,114.860001,115.279999,98.078667,3857700
2015-11-18,115.199997,115.410004,115.070000,115.309998,98.104187,1713300
2015-11-19,115.470001,115.769997,115.440002,115.650002,98.393417,2890500
2015-11-20,115.629997,115.760002,115.480003,115.629997,98.376419,2344900
2015-11-23,115.540001,115.750000,115.470001,115.669998,98.410454,1948100
2015-11-24,115.639999,115.820000,115.580002,115.709999,98.444489,1659500
2015-11-25,115.750000,115.910004,115.680000,115.820000,98.538048,609600
2015-11-27,115.910004,116.000000,115.860001,115.860001,98.572105,409200
2015-11-30,115.849998,115.949997,115.800003,115.910004,98.614655,4925000
2015-12-01,115.639999,116.470001,115.559998,116.449997,99.356102,5961700
2015-12-02,116.209999,116.330002,116.050003,116.169998,99.117180,6138300
2015-12-03,115.580002,115.690002,114.559998,114.629997,97.803238,4515400
2015-12-04,114.790001,115.279999,114.790001,115.250000,98.332222,3120500
2015-12-07,115.220001,115.830002,115.190002,115.449997,98.502884,3094600
2015-12-08,115.599998,115.610001,115.220001,115.300003,98.374931,3754100
2015-12-09,115.169998,115.419998,114.930000,115.269997,98.349304,3394600
2015-12-10,115.290001,115.470001,115.000000,115.000000,98.118935,4722600
2015-12-11,115.279999,115.410004,114.809998,115.199997,98.289566,7949600
2015-12-14,114.849998,115.000000,114.180000,114.349998,97.564354,6442800
2015-12-15,114.070000,114.629997,113.940002,114.360001,97.572899,3822600
2015-12-16,114.309998,114.629997,113.699997,114.339996,97.555824,2540900
2015-12-17,114.660004,114.739998,114.339996,114.470001,97.666733,2327500
2015-12-18,114.519997,114.760002,114.430000,114.470001,97.666733,2566200
2015-12-21,114.760002,114.900002,114.459999,114.550003,97.734985,3026000
2015-12-22,114.430000,114.589996,114.290001,114.400002,97.607010,2204900
2015-12-23,114.279999,114.519997,114.209999,114.500000,97.692337,1923200
2015-12-24,114.339996,114.550003,114.199997,114.550003,98.010620,920100
2015-12-28,114.360001,114.559998,114.209999,114.410004,97.890854,2422500
2015-12-29,114.279999,114.379997,113.809998,113.820000,97.386002,2965700
2015-12-30,113.769997,114.050003,113.730003,113.820000,97.386002,1890600
2015-12-31,114.169998,114.269997,114.000000,114.010002,97.548576,1228200
2016-01-04,114.150002,114.410004,113.889999,113.949997,97.497246,8333700
2016-01-05,114.089996,114.230003,113.910004,114.010002,97.548576,4474300
2016-01-06,114.480003,114.529999,114.300003,114.459999,97.933617,4522400
2016-01-07,114.570000,114.680000,114.250000,114.550003,98.010620,4820000
2016-01-08,114.519997,114.919998,114.440002,114.639999,98.087578,4363500
2016-01-11,114.489998,114.610001,114.230003,114.269997,97.771057,4161500
2016-01-12,114.300003,114.910004,114.300003,114.529999,97.993523,2616600
2016-01-13,114.720001,115.000000,114.540001,114.879997,98.292976,5649800
2016-01-14,114.900002,114.919998,114.260002,114.309998,97.805305,4735300
2016-01-15,114.339996,114.489998,113.980003,114.139999,97.659805,5977900
2016-01-19,114.040001,114.120003,113.610001,113.629997,97.223450,3374300
2016-01-20,113.839996,113.940002,113.510002,113.800003,97.368927,6175300
2016-01-21,113.809998,113.989998,113.360001,113.470001,97.086578,3928300
2016-01-22,113.430000,113.760002,113.349998,113.540001,97.146439,2932000
2016-01-25,113.190002,113.709999,113.190002,113.419998,97.043762,2485200
2016-01-26,113.510002,113.779999,113.440002,113.739998,97.317581,4002200
2016-01-27,113.529999,113.709999,113.209999,113.430000,97.052338,2535900
2016-01-28,113.269997,113.750000,113.269997,113.559998,97.163551,4187100
2016-01-29,114.220001,114.220001,113.900002,114.150002,97.668365,2022700
2016-02-01,113.489998,113.589996,113.110001,113.449997,97.356865,8696800
2016-02-02,113.639999,113.739998,113.370003,113.660004,97.537094,5881200
2016-02-03,113.519997,113.940002,113.239998,113.379997,97.296799,3732100
2016-02-04,113.489998,113.680000,113.330002,113.430000,97.339706,3367500
2016-02-05,113.279999,113.500000,113.120003,113.410004,97.322540,4334400
2016-02-08,113.650002,114.080002,113.500000,114.000000,97.828865,3265200
2016-02-09,113.660004,114.080002,113.589996,113.610001,97.494194,3346900
2016-02-10,113.739998,113.930000,113.620003,113.750000,97.614326,3738300
2016-02-11,114.000000,114.489998,113.900002,114.129997,97.940392,5333600
2016-02-12,113.669998,113.830002,113.169998,113.489998,97.391174,4180600
2016-02-16,113.529999,113.529999,112.879997,112.949997,96.927803,4972200
2016-02-17,112.900002,113.139999,112.669998,112.919998,96.902054,5008100
2016-02-18,113.190002,113.879997,113.080002,113.839996,97.691551,3810700
2016-02-19,113.800003,113.970001,113.570000,113.760002,97.622902,3587300
2016-02-22,113.870003,114.040001,113.779999,113.989998,97.820259,4556800
2016-02-23,113.750000,114.300003,113.550003,114.220001,98.017662,2832100
2016-02-24,114.500000,114.820000,114.269997,114.330002,98.112038,3402200
2016-02-25,114.580002,115.110001,114.580002,114.970001,98.661232,4531800
2016-02-26,114.910004,114.959999,114.570000,114.930000,98.626930,5422500
2016-02-29,114.849998,115.070000,114.779999,115.010002,98.695580,5231900
2016-03-01,115.110001,115.110001,113.919998,114.050003,98.157684,8301800
2016-03-02,113.949997,114.300003,113.820000,114.279999,98.355614,3519600
2016-03-03,114.290001,114.900002,114.279999,114.820000,98.820381,3614600
2016-03-04,114.739998,114.820000,114.449997,114.800003,98.803169,2040600
2016-03-07,114.489998,114.959999,114.489998,114.930000,98.915047,3616900
2016-03-08,115.769997,115.860001,115.449997,115.540001,99.440033,3279800
2016-03-09,115.199997,115.540001,115.180000,115.410004,99.328148,3205800
2016-03-10,115.910004,116.089996,115.400002,115.889999,99.741287,4459000
2016-03-11,116.300003,116.379997,115.970001,116.220001,100.025307,4603500
2016-03-14,116.430000,116.599998,116.209999,116.559998,100.317909,2997400
2016-03-15,116.830002,116.830002,116.389999,116.519997,100.283508,6599400
2016-03-16,116.349998,117.120003,116.260002,117.080002,100.765465,3975400
2016-03-17,117.080002,117.690002,117.080002,117.440002,101.075310,3341900
2016-03-18,117.860001,117.910004,117.500000,117.709999,101.307655,3315200
2016-03-21,117.510002,117.839996,117.419998,117.570000,101.187172,2948600
2016-03-22,117.800003,117.800003,117.279999,117.349998,100.997833,3762900
2016-03-23,117.589996,117.940002,117.309998,117.940002,101.505615,5338700
2016-03-24,118.260002,118.260002,117.800003,117.889999,101.462601,2601500
2016-03-28,117.940002,118.190002,117.860001,117.959999,101.522842,3274500
2016-03-29,118.279999,118.599998,118.110001,118.489998,101.978966,3758500
2016-03-30,118.489998,118.489998,118.190002,118.349998,101.858490,3877600
2016-03-31,118.379997,118.860001,118.290001,118.820000,102.263023,7853500
2016-04-01,118.650002,118.959999,118.190002,118.870003,102.592697,6809800
2016-04-04,118.900002,118.919998,118.660004,118.879997,102.601326,4138700
2016-04-05,118.690002,119.269997,118.559998,119.260002,102.929306,6944700
2016-04-06,119.070000,119.180000,118.910004,119.160004,102.842957,4793600
2016-04-07,119.440002,119.540001,119.250000,119.480003,103.119179,3591900
2016-04-08,119.379997,119.389999,119.139999,119.209999,102.886124,2060900
2016-04-11,119.089996,119.339996,118.980003,119.199997,102.877502,1998600
2016-04-12,118.879997,119.040001,118.610001,118.730003,102.471848,3553400
2016-04-13,118.769997,119.160004,118.699997,119.139999,102.825706,2502200
2016-04-14,119.180000,119.230003,118.910004,119.059998,102.756676,1864000
2016-04-15,119.300003,119.620003,119.139999,119.559998,103.188171,3789500
2016-04-18,119.339996,119.690002,119.339996,119.690002,103.300407,2827400
2016-04-19,119.730003,119.919998,119.570000,119.910004,103.490288,2577100
2016-04-20,120.059998,120.389999,119.550003,119.580002,103.205490,3040900
2016-04-21,119.660004,119.690002,119.330002,119.529999,103.162308,3579500
2016-04-22,119.910004,119.910004,119.550003,119.660004,103.274490,1651800
2016-04-25,119.680000,119.690002,119.300003,119.379997,103.032860,2923600
2016-04-26,119.500000,119.500000,119.120003,119.330002,102.989662,3286600
